0,51.509,-0.16103,-0.012831,0.047983,-1.5429
0.5,51.509,-0.16103,0.12006,-0.014335,-2.3598
1,51.509,-0.16103,0.25553,0.0045029,-1.6467
1.5,51.509,-0.16103,0.49586,-0.00978,-1.3491
2,51.509,-0.16103,0.76366,0.0022979,-1.6709
2.5,51.509,-0.16103,0.97023,0.0063525,-1.4437
3,51.509,-0.16103,1.249,0.010364,-1.0079
3.5,51.509,-0.16103,1.2487,-0.0087141,-0.47623
4,51.509,-0.16103,1.3018,-0.015365,-1.7655
4.5,51.509,-0.16103,1.2143,-0.0080263,-1.7721
5,51.509,-0.16103,1.2382,0.0016012,-1.4689
5.5,51.509,-0.16103,1.2724,-0.021852,-1.0438
6,51.509,-0.16103,1.2333,0.01981,-1.6672
6.5,51.509,-0.16103,1.2646,0.029153,-0.72963
7,51.509,-0.16103,1.2233,0.0014236,-0.96444
7.5,51.509,-0.16103,1.3117,0.011498,-0.4565
8,51.509,-0.16103,1.2239,0.0044005,-1.1625
8.5,51.509,-0.16103,1.2678,-0.0076311,-1.7558
9,51.509,-0.16103,1.2429,0.011168,-1.9337
9.5,51.509,-0.16102,1.2981,0.041117,0.64725
10,51.509,-0.16102,1.2246,0.046756,1.3725
10.5,51.509,-0.16102,1.2615,0.021143,1.1305
11,51.509,-0.16102,1.2467,0.0063781,0.8294
11.5,51.509,-0.16102,1.2986,0.021075,0.088698
12,51.509,-0.16102,1.2301,-0.0042048,-0.40664
12.5,51.509,-0.16102,1.2777,-0.018175,-0.45243
13,51.509,-0.16102,1.2012,-0.0060173,-1.0148
13.5,51.509,-0.16102,1.2654,-0.00051498,-1.7391
14,51.509,-0.16102,1.2051,0.005566,-2.0694
14.5,51.509,-0.16102,1.2855,-0.028083,-1.3744
15,51.509,-0.16102,1.2067,-0.035026,-2.1631
15.5,51.509,-0.16102,1.2748,-0.028866,-3.495
16,51.509,-0.16102,1.1858,-0.014977,-3.8261
16.5,51.509,-0.16102,1.2641,-0.0080524,-3.0458
17,51.509,-0.16102,1.1814,0.00056437,-2.6794
17.5,51.509,-0.16102,1.2743,-0.0031512,-2.6409
18,51.509,-0.16102,1.2335,0.0040582,-2.5639
18.5,51.509,-0.16102,1.2611,-0.0074643,-2.1801
19,51.509,-0.16102,1.2023,0.0038363,-1.9405
19.5,51.509,-0.16102,1.2839,0.015864,-0.74795
20,51.509,-0.16102,1.2328,0.016139,-0.67082
20.5,51.509,-0.16102,1.2201,0.0047766,-0.94046
21,51.509,-0.16102,1.2744,0.013161,-1.4397
21.5,51.509,-0.16102,1.2064,0.010873,-0.23478
22,51.51,-0.16102,1.2285,-0.019499,-0.87621
22.5,51.51,-0.16102,1.2441,-0.025549,-1.6987
23,51.51,-0.16102,1.2657,-0.018509,-0.94994
23.5,51.51,-0.16102,1.2029,0.016776,-0.50158
24,51.51,-0.16102,1.2549,0.0053737,-1.4375
